627.86,-10.98
-775.6,34.05
-822.87,35
-859.89,34.96
-887.08,35.31
-903.25,35.63
-909.47,35.61
-904.32,34.81
-896.79,34.8
-874.86,33.15
-842.87,30.4
-800.27,30.46
-749.42,27.67
-686.99,26.09
-617.52,23.98
-575.72,22.71
-494.66,19.17
-406.88,17.46
-317.7,14.87
-219.34,12.49
-122.41,9.24
-21.44,6.7
34.49,4.19
133.63,1.97
230.72,-0.44
325.98,-3.52
416.76,-4.96
502.52,-7.16
582.47,-9.34
624.56,-9.93
691.69,-12.06
750.58,-14.24
802.98,-15.16
843.74,-16.28
873.54,-16.34
892.43,-16.73
899.2,-16.85
903.51,-14.82
894.35,-13.68
875.91,-12.82
847.08,-12.05
807.04,-10.14
757.1,-8.56
724.77,-7.51
661.42,-5.48
589.37,-2.67
509.93,0.34
423.67,2.47
333.01,5.07
239.14,7.84
184.54,9.65
86.63,13.27
-14.24,15.71
-113.89,18.7
-210.84,20.4
-308.33,23.27
-400.27,25.5
-448.9,27.96
-533.22,28.85
-610.12,30.86
-680.02,31.98
-742.65,33.5
-794.79,34.31
-836.91,35.79
-857.13,35.67
-884.8,35.91
-902,36.5
-907.41,35.91
-903.58,35.32
-888.16,33.58
-861.91,33.16
-842.92,31.84
-801.3,29.63
-750.04,28.3
-689.4,26.23
-621.7,24.45
-546.09,22.6
-462.51,19.26
-413.75,17.92
-324.44,14.99
-229.92,12.97
-130.99,10.3
-32.56,6.05
68.75,3.67
166.84,0.91
221.56,-0.72
316.82,-3.34
408.56,-5.25
495.71,-7.05
575.95,-9.85
649.13,-12.27
715.33,-13.36
747.58,-13.85
797.83,-15.56
839.45,-16.1
870.2,-16.17
891.26,-15.92
900.13,-16.81
898.92,-15.68
894.26,-15.39
875.95,-13.78
847.46,-12.82
808.53,-10.92
759.08,-9.35
700.68,-7.02
633.49,-4.39
592.7,-3.72
514,-0.11
429.42,2.8
340.26,4.84
245.95,7.74
147.04,11.02
47.15,13.73
-9.29,15.6
-108.5,17.87
-206.87,20.43
-302.04,22.28
-393.82,26.28
-481.95,27.88
-562.94,30.21
-604.88,31.42
-675.3,33.02
-737.53,33.95
-790.76,34.88
-835.19,35.62
-868.38,35.28
-891.48,36
-899,36.11
-906.46,36
-902.85,35.31
-888.21,34.77
-862.19,33.57
-826.09,32.33
-780.93,29.76
-750.04,28.3
-690.97,26.77
-622.04,24.78
-545.43,22.48
-461.93,20.22
-372.94,16.52
-279.77,14.02
-226.91,12.93
-129.3,9.79
-28.94,7.26
70.48,3.64
168.49,0.64
265.85,-1.41
359.45,-4.42
409.3,-4.7
495.63,-6.58
575.95,-9.85
648.76,-12.09
714.36,-13.93
769.91,-14.95
816.22,-16.05
837.7,-16.07
868.97,-17.08
888.88,-17.1
898.76,-16.65
898.25,-15.93
885.15,-15.49
862.8,-13.15
845.55,-12.53
805.54,-11.76
756.9,-8.98
697.79,-7.46
631.89,-4.92
557.51,-1.34
475.77,0.44
428.01,2.07
337.47,4.26
242.33,7.83
144.1,10
45.77,14
-53.03,16.62
-153.41,19.2
-207.54,20.55
-303.28,22.76
-394.26,26.07
-480.67,28.96
-561.36,30.72
-636.32,31.76
-702.84,34
-736.58,34.07
-789.39,34.55
-833.01,35.66
-865.6,35.67
-890.37,36.49
-903.06,36.06
-904.42,36.38
-900.81,35.71
-885.94,34.79
-860.07,33.51
-824.86,32.07
-778.43,29.69
-723.61,28.17
-660.58,25.62
-621.12,25.19
-544.43,22.46
-462.39,20.9
-373.04,16.98
-280.63,14.14
-184.51,11.03
-87.45,9.3
-31.08,6.9
68.63,3.22
164.84,1.32
263.79,-1.6
355.82,-2.93
445.23,-6
529.24,-8.76
572.54,-10.07
645.53,-11.59
709.71,-14.02
766.95,-15.14
813.08,-16.27
850.84,-16.06
877.92,-16.51
886.87,-17.82
897.36,-16.9
896.9,-16.05
884.71,-15.7
862.41,-13.78
828.96,-12.12
785.04,-10.33
757.09,-9.42
698.98,-8.24
633.37,-5.56
557.94,-2.11
477.17,0.64
390.62,3.63
299.59,5.91
245.83,7.28
148.83,10.37
48.74,14.05
-49.1,16.35
-149.08,19.29
-246.67,21.88
-340.08,25.18
-390.7,26.6
-477.38,28.33
-558.41,30.36
-633.52,32.46
-700.4,33.04
-757.65,34.44
-808.31,35.41
-830.61,35.93
-864.04,36.37
-889.02,36.39
-901.65,36.24
-903.29,36.47
-894.99,35.96
-876.2,34.95
-859.03,34
-824.77,32.2
-779.25,31.4
-724.03,27.99
-662.11,26.48
-590.43,24.36
-511.69,21.95
-465.99,20.41
-378.28,16.76
-284.95,14.49
-190.55,12.5
-91.21,8.77
7.39,5.56
107.97,2.56
162.91,1.58
259.25,-0.89
353.04,-3.51
442.49,-6.25
525.05,-8.74
601.88,-10.64
672.94,-13.18
707.67,-14.22
763.15,-14.79
811.25,-15.91
849.53,-16.64
875.59,-17.73
891.03,-16.92
897.47,-16.68
895.16,-16.78
883.16,-14.92
860.2,-13.79
827.63,-11.91
784.15,-10.43
731.1,-8.46
668.84,-6.78
631.56,-5.55
558.7,-2.67
476.74,0.84
389.92,3.32
298.84,6.03
203.08,9.25
103.69,12.6
49.1,14.41
-49.7,16.88
-148.76,19.61
-245.43,21.68
-340.09,25.36
-428.93,28
-514.12,30.06
-558.06,30.99
-633.15,32.13
-699.06,33.45
-757.66,35.1
-806.59,35.86
-845.69,36.51
-875.52,36.65
-886.08,37.45
-898.69,37.08
-902.37,36.56
-892.78,35.82
-872.58,34.61
-844.09,33.91
-803.72,32.57
-777.12,30.86
-722.45,28.05
-657.47,27.09
-586.72,24.26
-508.48,21.77
-422.39,20.19
-333.04,16.11
-281.09,14.06
-184.85,12.2
-87.43,9.36
12.19,6.04
111.12,2.27
208.62,-0.07
303.15,-2.44
355.05,-3.46
442.92,-6.07
525.52,-8.92
604.3,-11.25
673.49,-12.86
734.5,-14.32
784.53,-15.7
810.18,-15.77
847.11,-17.59
874.19,-18.04
890.15,-17.32
895.57,-17.62
889.47,-16.85
872.57,-15.26
858.75,-14.33
826.28,-11.87
783.55,-11.15
730.95,-8.77
668.65,-6.32
599.04,-4
523.42,-1.7
477.17,0.64
391.28,3.07
299.26,6.26
204.3,9.05
106.69,13.16
7.16,15.28
-90.59,17.83
-145.21,18.86
-243.42,23.24
-336.92,26.32
-426.9,28.2
-510.82,30.33
-589.48,32.07
-660.67,33.5
-696.92,35.4
-755.53,35.07
-804.24,36.84
-844.08,37
-872.72,37.27
-891.92,37.45
-900.62,36.72
-900.21,36.39
-892.25,36.58
-872.43,35.77
-844.72,34.76
-804.8,32.78
-756.21,30.81
-697.39,28.45
-661.93,27.28
-589.52,25.29
-511.01,23.11
-426.93,19.26
-338.05,16.43
-244.12,13.4
-145.96,11.63
-92.1,9.91
7.52,6.12
107.56,2.41
204.11,1.3
300.47,-2.07
390.92,-4.55
476.47,-7.96
522.21,-8.3
598.95,-10.79
668.29,-11.76
729.5,-13.26
782.07,-15.17
825.4,-16.89
857.39,-16.98
871.39,-17.09
888.92,-17.12
893.71,-16.85
888.77,-16.62
871.8,-14.61
845.47,-13.69
808.99,-12.47
783.74,-11.16
731.76,-9.35
671,-7.43
599.98,-3.52
524.21,-1.94
441.28,0.42
352.49,4.13
300.93,6.64
207.33,9.56
109.74,11.36
10.91,15.63
-88.76,18.91
-184.55,22.09
-281.38,24.81
-333.35,25.13
-423.42,28.29
-507.87,30.29
-586.5,31.49
-658.08,35.27
-722.55,35.82
-776.3,37.04
-803.1,37.4
-842.62,38.62
-872.16,38.71
-890.82,39.13
-898.85,38.55
-896.73,38.13
-884.15,37.18
-872.35,36.8
-843.5,34.96
-804.58,33.2
-754.75,31.16
-697.98,29.63
-631.32,27.2
-557.99,25.01
-512.52,23.23
-428.2,19.69
-338.89,17.66
-245.57,14.56
-149.14,11.23
-52.08,7.64
46.96,5.35
101.45,4.52
198.89,1.01
294.48,-2.21
386.33,-5.41
472.79,-7.32
553.06,-9.77
628.35,-11.06
665.79,-11.93
726.41,-13.53
779.57,-15.76
822.23,-17.06
855.17,-17.49
878.39,-17.65
889.2,-17.2
891.93,-17.88
887.76,-16.33
872.12,-15.02
846.73,-13.89
809.42,-13.39
762.79,-11.63
706.4,-7.88
671.38,-6.83
603.69,-4.7
527.66,-1.86
444.65,0.17
356.18,3.96
263.23,7.52
166.75,10.62
111.93,11.91
13.37,15.69
-85.11,18.71
-182.43,21.77
-277.35,23.74
-370.22,26.24
-458.17,28.51
-504.87,30.83
-582.96,32.42
-654.72,34.41
-718.35,36.25
-772.53,37.03
-818.19,38.17
-853.69,38.47
-868.32,38.97
-888.24,39.35
-897.95,39.05
-896.22,38.56
-883.37,37.96
-860.5,36.75
-827.61,34.27
-804.84,33.6
-756.86,31.51
-699.25,29.21
-634.06,27.39
-561.28,24.48
-481.09,21.91
-394.49,18.63
-343.5,18.65
-251.57,14.79
-154.47,10.42
-57.15,8.09
42.8,5.9
140.56,2.1
238.13,-0.86
289.92,-2.76
381.86,-5.86
468.19,-8
548.7,-9.73
622.34,-11.34
689.15,-14.02
746.03,-15.18
775.47,-16.28
819.83,-16.66
853.26,-18.42
876.31,-17.37
887.92,-17.79
890.29,-17.83
881.35,-16.47
872.73,-16.35
846.96,-14.87
810.37,-13.41
765.07,-12.08
710.55,-9.38
645.68,-5.97
574,-3.4
529.78,-2.57
447.47,0.41
359.37,4.03
269.35,6.26
173.99,10.2
74.74,13.02
-23.46,16.6
-78.07,17.89
-177.64,21.87
-272.93,23.73
-363.98,26.2
-452.44,28.53
-535.31,31.25
-611.99,34.01
-650.44,35.1
-713.07,35.85
-767.5,37.33
-814.39,37.95
-850.01,38.84
-876.74,39.19
-892.46,39.46
-895.05,39.33
-894.17,38.68
-882.62,37.97
-860.5,36.75
-827.78,34.75
-786.54,33.11
-733.86,30.84
-701.15,30.42
-635.31,28.34
-561.85,24.97
-481.58,22.02
-395.85,19.1
-306.67,16.95
-212.96,13.73
-158.63,11.94
-61.11,8.61
37.24,5.82
133.99,2.8
230.37,-0.63
324.78,-4.44
414.41,-6.52
461.09,-8.32
542.34,-9.95
617.19,-11.7
684.7,-13.08
744.93,-15.77
792.89,-16.69
833.56,-17.36
849.62,-18.12
874.19,-18.04
887.73,-18.27
887.8,-17.78
880.79,-17.68
861.48,-15.73
832.43,-14.39
811.09,-13.18
765.84,-11.39
711.23,-10.9
646.59,-6.68
575.27,-3.25
498.2,-1.09
412.56,1.59
364.54,3.35
270.17,7.41
174.74,9.44
77.88,12.43
-20.57,15.68
-118.57,18.87
-214.25,23.14
-268.56,23.93
-361.17,26.03
-449.61,29.46
-531.74,31.1
-606.33,33.52
-675.9,36.1
-736.13,37.32
-767.06,37
-812.96,37.93
-848.28,38.72
-875.02,39.07
-889.72,39.67
-895.35,39.77
-889.01,38.49
-881.26,38.21
-860.23,36.8
-827.78,34.75
-785.63,33.56
-734.28,31.16
-673.53,29.29
-605.25,26.6
-564.81,26.04
-484.65,22.82
-397.05,20.17
-307.7,16.95
-212.41,14.02
-116.02,9.81
-17.21,6.64
38.14,5.16
135.26,3.07
232.29,-0.77
326.66,-3.94
416.87,-6.77
500.02,-7.76
576.78,-10.18
617.19,-11.7
684.31,-14.9
743.25,-15.86
792.82,-17.18
833.06,-18.2
860.65,-17.81
880.96,-18.15
885.76,-19.18
887.73,-18.27
879.89,-17.33
859.98,-16.17
829.04,-14.83
790.01,-13.08
738.76,-10.44
708.16,-9.46
644.26,-6.73
574,-3.4
494.36,-2.07
410.9,1.69
319.26,5.74
227.27,8.41
173.99,10.2
77.88,12.43
-23.29,16.12
-118.57,18.87
-215.75,22.84
-309.56,24.95
-399.07,27.44
-449.18,29.09
-531.12,31.83
-605.46,34.38
-673.5,36.06
-734.26,37.31
-786.45,37.15
-826.91,38.12
-847,39.23
-873.21,39.6
-888.67,39.68
-894.61,39.01
-888.37,39.24
-873.84,37.98
-846.86,36.63
-827.61,35.22
-785.17,34.53
-734.28,31.16
-673.83,29.73
-605.49,27.61
-529.54,24.4
-447.66,21.32
-399.21,19.62
-308.56,16.97
-213.89,13.57
-118.19,10.4
-19.92,7.13
77.93,3.91
174,0.86
228.37,-0.83
320.92,-4.06
410.56,-6.72
494.26,-8.85
572.4,-11.83
643.73,-13.76
707.61,-15.16
738.79,-16.27
789.03,-17.43
828.78,-17.74
857.73,-18.6
877.58,-18.1
886.28,-19.51
884.35,-18.21
877.58,-18.1
859.86,-16.28
829.04,-14.83
790.49,-13.26
742.32,-11.69
684.39,-9.05
616.64,-6.55
576.49,-4.26
500.43,-1.42
415.54,0.72
326.33,4.78
232.33,7.57
136.53,11.13
37.85,14.25
-16.48,16.02
-114.51,19.29
-211.35,22.78
-304.81,25.22
-395.62,28.48
-481.06,30.36
-559.03,32.04
-600.63,34.14
-670.14,36.02
-730.36,37.6
-781.33,37.82
-823.83,39.16
-857.27,39.6
-879.64,39.28
-887.1,39.75
-893.26,39.88
-888.36,39.23
-872.64,38.78
-847.1,37.63
-811.73,35.68
-764.62,34.02
-735.75,31.67
-676.29,30.42
-608.35,28
-532.09,24.89
-451.16,21.89
-364.89,18.93
-272.5,16.88
-219.95,14.29
-123.22,10.49
-24.32,7.18
74.2,4.94
171.28,0.51
267.72,-1.91
359.04,-5.03
408.38,-6.87
492.31,-8.86
570.68,-11.9
642.46,-13.52
705.37,-14.79
759.48,-17.05
806.01,-18.09
826.77,-18.18
855.98,-19.23
874.7,-18.97
884.45,-19.13
882.32,-18.29
869.44,-17.62
846.71,-16.39
829.03,-14.31
789.55,-13.24
740.81,-12.03
682.39,-8.43
616.46,-7
542.98,-3.22
461.79,-0.41
414.41,0.55
325.14,4.69
233.17,8.88
137.46,10.76
39.85,14.09
-58.39,17.35
-156.53,22.15
-209.47,22.75
-303.32,24.91
-393.59,28.68
-478.02,30.92
-557.74,33.68
-630.7,35.48
-695.84,36.78
-729.04,37.54
-780.61,38.51
-822.87,39.03
-855.48,39.7
-877.32,39.87
-889.21,39.74
-890.92,39.61
-886.21,39.6
-871.7,38.88
-845.42,38.36
-808.93,37.11
-763.33,34.36
-707.63,32.22
-644.19,28.89
-604.95,27.55
-529.87,26.38
-448.96,22.2
-362.64,19.35
-270.63,16.85
-175.37,12.18
-77.98,9.69
-23.56,7.87
74.67,5.11
171.76,2
267.23,-1.78
357.79,-4.8
445.26,-7.33
527.13,-9.8
570.18,-11.98
640.96,-13.73
704.5,-15.69
758.96,-17.06
804.33,-17.69
839.82,-19.16
864.13,-19.48
874.11,-19.46
883.06,-19.68
880.78,-18.61
869.01,-17.39
846.19,-16.29
812.9,-14.72
769.21,-12.9
741.59,-12.27
683.3,-8.79
617.56,-6.33
544.39,-3.53
463.43,-0.79
378.16,3.15
287.83,5.26
235.87,6.55
139.94,11.31
43.02,15.03
-55.42,17.75
-152.74,20.5
-248.88,23.74
-342.17,27.03
-390.68,28.52
-476.93,30.66
-556.1,34.29
-629.77,35.47
-694.41,37.1
-750.49,37.87
-798.35,39.7
-821.08,40.49
-854.52,40.93
-875.57,40.48
-887.99,40.88
-888.89,40.14
-880.02,39.47
-860.47,38.43
-845.42,38.36
-810.04,36.88
-764.38,35.03
-709.68,32.25
-647.05,30.1
-575.91,27.6
-497.75,24.18
-451.71,22.38
-365.55,18.73
-272.97,16.3
-180.27,12.7
-83.94,10.16
14.8,5.84
112.57,1.89
166.72,0.69
261.75,-1.8
353.1,-5.77
441.15,-7.22
522.24,-11.57
597.55,-12.92
665.32,-14.47
699.32,-15.95
754.65,-17.86
800.39,-18.76
836.9,-20.45
861.91,-19.28
877.53,-21.13
881.41,-19.68
880.28,-18.59
867.42,-17.93
845.17,-17.33
811.2,-14.99
769.67,-12.74
716.84,-10.91
656.55,-8.11
618.09,-7.38
544.63,-4.09
464.36,-1.15
378.79,2.08
288.19,4.92
194.12,9.46
98.1,12.58
44.08,14.66
-54.08,17.75
-150.46,21.47
-246.18,23.53
-338.83,26.73
-427.53,30.4
-510.82,32.62
-554.72,34.44
-627.15,36.19
-692.85,37.26
-749.17,38.05
-797.06,39.32
-835.04,40.21
-863.28,41.16
-874.57,41.19
-886.86,41.56
-887.93,40.37
-878.38,38.97
-858.34,38.71
-829.33,38.51
-789.71,37.22
-763.02,34.34
-709.4,31.47
-646.62,29.53
-575.46,28.12
-497.24,24.16
-413.37,21
-324.88,17.63
-272.5,16.88
-178.84,12.81
-81.61,9.43
15.5,5.71
114.85,2.39
211.12,-0.11
304.1,-3.37
354.37,-5.85
441.96,-7.59
523.53,-11.27
598.03,-12.82
665.75,-15.37
725.82,-16.93
775.9,-18.93
801.36,-19.05
836.42,-20.62
862.3,-20.55
876.27,-21.06
880.65,-19.99
874.46,-19.42
857.48,-18.21
842.92,-16.94
809.53,-15.98
767.1,-13.55
713.98,-11.99
651.58,-9.24
582.46,-6.45
505.53,-2.22
460.32,-0.67
374.57,1.52
283.47,5.1
189.46,8.71
92.25,12.06
-5.43,16.1
-103.19,18.94
-157.1,21.46
-250.69,23.52
-342.68,27.13
-430.11,30.01
-513.07,32.58
-590.29,34.93
-659.33,35.99
-694.41,37.1
-750.36,38.64
-797.64,40.16
-835.3,40.64
-863.19,40.6
-880.58,41.47
-887.81,41.33
-886.32,40.78
-876.82,39.7
-857.15,39.12
-825.61,37.68
-786.29,36.25
-736.03,33.17
-676.88,31.77
-640.64,29.6
-569.17,27.86
-490.97,24.11
-406.95,21.73
-317.84,17.95
-224.86,14.6
-128.97,11.38
-76.37,9.05
21.87,6.15
119.57,2.4
215.1,-0.62
308.8,-4.68
397.79,-6.88
482.46,-9.67
526.43,-11.28
602.58,-14.02
669.26,-15.91
728.4,-18.66
778.53,-19.08
818.27,-20.01
848.7,-20.53
862.12,-20.87
875.78,-20.99
879.63,-20.84
872.34,-20.67
853.92,-19.13
826.43,-17.24
787.89,-14.97
761.23,-13.19
709.06,-11.91
647.24,-10.12
577.15,-6.13
500.43,-3.86
416.96,0.02
328.57,2.7
276.93,5.44
182.62,9.34
86.15,12.25
-11.77,15.27
-110.03,20.04
-206.27,21.95
-298.87,24.89
-350.15,26.08
-437.64,29.89
-519.43,32.58
-594.91,35.41
-663.41,36.28
-723.52,38.28
-774.55,39.11
-800.75,40.19
-836.29,40.73
-863.04,41.08
-880.58,41.47
-885.08,40.91
-881.07,40.73
-865.75,39.23
-853.37,38.04
-820.34,37.28
-779.92,35.74
-728.66,33.42
-669.56,30.33
-602.14,28.92
-527.26,25.83
-483.74,23.89
-398.22,19.48
-308.87,17.4
-216.32,14.69
-120.17,10.12
-23.44,7.14
72.91,4.52
127.21,2.36
222.14,-1.55
317.03,-4.88
405.75,-7.44
489.71,-10.22
568.76,-13.01
637.82,-15.71
674.78,-17.04
732.52,-18.35
780.95,-19.45
820.68,-20.66
851.15,-20.46
868.82,-21.34
878.72,-21.09
878.26,-20.89
869.29,-20.42
851.3,-19.2
820.18,-17.61
781.04,-15.28
733.05,-12.74
676.4,-10.94
640.45,-10.01
569.03,-6.71
492.46,-2.82
407.74,0.11
318.11,2.98
227.88,6.79
130.65,10.87
77.45,12.11
-21.41,15.24
-118.63,19.45
-213.81,22.81
-307.42,25.05
-396.69,28.36
-480.35,31.53
-524.54,33.27
-599.46,35.05
-667.52,36.73
-727.36,38.29
-778.17,39.47
-819.96,40.4
-850.19,41.05
-863.04,41.08
-880.26,41.82
-883.58,40.97
-879.43,39.89
-861.95,39.33
-835.33,38.23
-800.26,37.01
-774.08,35.91
-723.9,33.62
-663.93,30.21
-594.95,28.63
-519.55,25.48
-437.51,22.63
-351.34,18.74
-302.09,17.3
-207.28,13.01
-111.8,9.64
-15.89,6.3
81.94,3.45
179.67,0.04
272.87,-4.14
323.27,-5.39
412.31,-8.29
495.1,-10.72
572.64,-13.94
642.75,-16.85
703.89,-17.85
758.48,-19.19
784.37,-19.45
821.12,-20.97
852.14,-20.7
868.53,-21.76
875.3,-21.88
873.7,-21.1
859.86,-20.44
846.95,-19.47
819.16,-18.27
779.33,-16.46
727.37,-12.77
670.03,-10.52
602.7,-8.66
528.04,-5.57
484.31,-3.05
399.9,-0.56
310.45,3.71
217.52,7.1
121.47,11.19
24.77,14.06
-71.67,18.14
-125.95,19.88
-220.9,23.35
-315.04,26.36
-403.46,28.46
-487.2,32.13
-565.02,33.83
-636.26,36.33
-672.89,37.63
-730.23,38.37
-780.72,40.41
-821.08,41.42
-850.94,41.81
-871.71,42.21
-881.25,42.21
-881.55,41.85
-876.39,40.01
-860.61,40.13
-833.6,38.21
-796.22,37.71
-748.89,34.75
-693.5,32.47
-659.89,31.02
-591.32,28.17
-515.2,25.74
-432.38,21.74
-345.9,18.71
-253.93,15.31
-159.55,11.83
-105,10.55
-8.5,6.19
89.21,3.18
184.57,-1.02
278.47,-3.92
369.19,-6.01
454.1,-9.54
500.28,-12.16
575.79,-14.1
644.89,-16.76
705.51,-18.63
759.37,-19.84
802.99,-21.12
836.38,-21.84
850.69,-21.48
868.11,-22.08
874.88,-22.19
871.49,-20.78
857.95,-20.55
832.76,-19.98
797.12,-17.99
773.31,-15.73
722.2,-13.09
663.98,-11.17
595.9,-9.18
521.67,-5.22
440.34,-1.52
354.71,1.36
303.99,2.96
211.43,6.23
114.89,10.69
18.69,13.42
-78.5,18.15
-175.51,22.25
-269.4,24.42
-321.38,26.04
-408.91,29.25
-492.01,32.6
-570.06,34.65
-639.87,35.61
-702.21,37.7
-757.08,40.22
-782.97,41.27
-822.15,42.24
-852.21,42.65
-871.81,42.68
-881.07,42.68
-879.27,41.73
-867.89,41.1
-856.32,39.23
-829.05,38.82
-791.88,37.65
-744.84,34.69
-687.63,32.42
-622.83,29.37
-551.03,26.93
-508.57,25.93
-426.35,22.25
-338.25,18.75
-247.07,15.75
-152.41,11.73
-54.31,7.36
41.91,4.84
96.89,2.53
192.38,-1.14
285.27,-4.87
374.8,-6.52
460.67,-8.64
540.05,-13.96
612.54,-16.11
649.55,-16.97
710.68,-17.97
761.68,-20.31
805.18,-20.6
836.88,-21.68
860.91,-21.65
871.9,-21.58
874.45,-21.88
868.11,-22.08
853.51,-20.63
827.06,-20.19
791.96,-17.71
746.06,-14.28
691.46,-12.07
657.5,-11.51
588.9,-9.5
513.58,-5.34
433.1,-1.1
346.52,1.72
255.53,5.06
161.12,9.64
108.34,11.21
10.55,14.15
-86.43,17.54
-182.77,22.18
-276.71,24.45
-367.11,27.7
-453.53,31.07
-497.53,32.89
-575.4,34.9
-644.04,36.25
-706.58,38.98
-759.66,40.37
-803.79,41.08
-837.8,42.33
-853.29,43.39
-871.69,43.37
-880.17,42.88
-877.69,41.71
-865.23,40.63
-842.11,39.52
-808.97,38.68
-787.29,37.14
-739.36,35.62
-681.75,32.32
-616.21,29.43
-544.28,26.72
-465.22,24.25
-379.88,19.35
-330.49,18.52
-239.21,15.67
-144.05,11.48
-46.75,7.77
50.08,4.98
147.04,0.66
241.21,-3.67
293.7,-4.49
382.87,-7.28
466.71,-9.81
545.83,-14.73
617.32,-16.06
682.51,-17.25
738.57,-19.18
765.71,-19.62
806.51,-21.21
838.82,-22.27
860.06,-22.1
870.74,-22.25
870.74,-22.25
860.6,-21.2
850.19,-21.46
824.27,-19.29
787.17,-18.13
739.89,-15.41
684.67,-11.96
622.46,-9.74
549.52,-7.45
506.74,-5.23
424.74,-1.48
337.11,1.31
245.36,5.2
151.68,9.46
54.31,12.21
-43.28,16.66
-97.57,18.31
-193.11,22.06
-285.55,24.03
-375.95,28.3
-460.63,31.56
-539.09,34.67
-612.93,36.12
-649.35,36.82
-709.99,38.66
-763.09,39.95
-806.3,42.28
-840.35,43.76
-862.69,44.22
